# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 8278053 18628 0.002250
2 8278053 15033 0.001816
3 8278053 11269 0.001361
4 8278053 8858 0.001070
5 8278053 8383 0.001013
6 8278053 8636 0.001043
7 8278053 7432 0.000898
8 8278053 6508 0.000786
9 8278053 27230 0.003289
10 8278053 5007 0.000605
11 8278053 5136 0.000620
12 8278053 4635 0.000560
13 8278053 4223 0.000510
14 8278053 5178 0.000626
15 8278053 4017 0.000485
16 8278053 3299 0.000399
17 8278053 3166 0.000382
18 8278053 2929 0.000354
19 8278053 2955 0.000357
20 8278053 3036 0.000367
21 8278053 3016 0.000364
22 8278053 3215 0.000388
23 8278053 3003 0.000363
24 8278053 20110 0.002429
25 8278053 5630 0.000680
26 8278053 3067 0.000370
27 8278053 2916 0.000352
28 8278053 2933 0.000354
29 8278053 5093 0.000615
30 8278053 3398 0.000410
31 8278053 3116 0.000376
32 8278053 4153 0.000502
33 8278053 3273 0.000395
34 8278053 3478 0.000420
35 8278053 2867 0.000346
36 8278053 2944 0.000356
37 8278053 3097 0.000374
38 8278053 3285 0.000397
39 8278053 3660 0.000442
40 8278053 4999 0.000604
41 8278053 3038 0.000367
42 8278053 3016 0.000364
43 8278053 3041 0.000367
44 8278053 3142 0.000380
45 8278053 2977 0.000360
46 8278053 3084 0.000373
47 8278053 3084 0.000373
48 8278053 4248 0.000513
49 8278053 2921 0.000353
50 8278053 3127 0.000378
51 8278053 2946 0.000356
52 8278053 3029 0.000366
53 8278053 5107 0.000617
54 8278053 3236 0.000391
55 8278053 5806 0.000701
56 8278053 3068 0.000371
57 8278053 5048 0.000610
58 8278053 3950 0.000477
59 8278053 5298 0.000640
60 8278053 5933 0.000717
61 8278053 3039 0.000367
62 8278053 6038 0.000729
63 8278053 3837 0.000464
64 8278053 3035 0.000367
65 8278053 3133 0.000378
66 8278053 4034 0.000487
67 8278053 3275 0.000396
68 8278053 3266 0.000395
69 8278053 3073 0.000371
70 8278053 3415 0.000413
71 8278053 3061 0.000370
72 8278053 4189 0.000506
73 8278053 3995 0.000483
74 8278053 6683 0.000807
75 8278053 3331 0.000402
76 8278053 3447 0.000416
77 8278053 4676 0.000565
78 8278053 3426 0.000414
79 8278053 5406 0.000653
80 8278053 3327 0.000402
81 8278053 4662 0.000563
82 8278053 3275 0.000396
83 8278053 4403 0.000532
84 8278053 3560 0.000430
85 8278053 3557 0.000430
86 8278053 6151 0.000743
87 8278053 6755 0.000816
88 8278053 3541 0.000428
89 8278053 6456 0.000780
90 8278053 3568 0.000431
91 8278053 3613 0.000436
92 8278053 6127 0.000740
93 8278053 3615 0.000437
94 8278053 3998 0.000483
95 8278053 3900 0.000471
96 8278053 7854 0.000949
97 8278053 7308 0.000883
98 8278053 7463 0.000902
99 8278053 3803 0.000459
100 8278053 4146 0.000501
101 8276552 4433 0.000536
102 8275109 3596 0.000435
103 8273718 3913 0.000473
104 8272299 4050 0.000490
105 8270772 3702 0.000448
106 8268907 3902 0.000472
107 8267106 3887 0.000470
108 8265092 3987 0.000482
109 8262445 4134 0.000500
110 8259402 4206 0.000509
111 8255767 4684 0.000567
112 8251329 6829 0.000828
113 8244903 7760 0.000941
114 8236677 5599 0.000680
115 8225621 8776 0.001067
116 8211043 5811 0.000708
117 8191657 6007 0.000733
118 8167593 8716 0.001067
119 8138071 7758 0.000953
120 8102415 10450 0.001290
121 8058549 7780 0.000965
122 8005320 8221 0.001027
123 7943609 7113 0.000895
124 7871779 8291 0.001053
125 7788003 7932 0.001018
126 7695587 7850 0.001020
127 7595648 13098 0.001724
128 7488771 9351 0.001249
129 7377220 9490 0.001286
130 7249926 10066 0.001388
131 7115293 8485 0.001193
132 6969269 9067 0.001301
133 6810025 8853 0.001300
134 6650386 9488 0.001427
135 6491775 8657 0.001334
136 6328283 12881 0.002035
137 6168811 8605 0.001395
138 6002483 8604 0.001433
139 5838544 8893 0.001523
140 5661934 12050 0.002128
141 5486507 8577 0.001563
142 5320077 8543 0.001606
143 5158649 9467 0.001835
144 4993427 8165 0.001635
145 4837260 9096 0.001880
146 4682331 8463 0.001807
147 4511123 10434 0.002313
148 4356953 7858 0.001804
149 4197728 7398 0.001762
150 4040551 15139 0.003747
