# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 10952456 59968 0.005475
2 10952456 60687 0.005541
3 10952456 46054 0.004205
4 10952456 41774 0.003814
5 10952456 38614 0.003526
6 10952456 39540 0.003610
7 10952456 37080 0.003386
8 10952456 36716 0.003352
9 10952456 38474 0.003513
10 10952456 39617 0.003617
11 10952456 36649 0.003346
12 10952456 51540 0.004706
13 10952456 37064 0.003384
14 10952456 37825 0.003454
15 10952456 67837 0.006194
16 10952456 36505 0.003333
17 10952456 35016 0.003197
18 10952456 34440 0.003145
19 10952456 34200 0.003123
20 10952456 34488 0.003149
21 10952456 33624 0.003070
22 10952456 37559 0.003429
23 10952456 33446 0.003054
24 10952456 33779 0.003084
25 10952456 33526 0.003061
26 10952456 33396 0.003049
27 10952456 38246 0.003492
28 10952456 34419 0.003143
29 10952456 34982 0.003194
30 10952456 33937 0.003099
31 10952456 33682 0.003075
32 10952456 33924 0.003097
33 10952456 33835 0.003089
34 10952456 34003 0.003105
35 10952456 37888 0.003459
36 10952456 33322 0.003042
37 10952456 33188 0.003030
38 10952456 33185 0.003030
39 10952456 33594 0.003067
40 10952456 32966 0.003010
41 10952456 32908 0.003005
42 10952456 40942 0.003738
43 10952456 32975 0.003011
44 10952456 33046 0.003017
45 10952456 33191 0.003030
46 10952456 33105 0.003023
47 10952456 33092 0.003021
48 10952456 33541 0.003062
49 10952456 35295 0.003223
50 10952456 35270 0.003220
51 10952456 35197 0.003214
52 10952456 35142 0.003209
53 10952456 34968 0.003193
54 10952456 35216 0.003215
55 10952456 35231 0.003217
56 10952456 42344 0.003866
57 10952456 35347 0.003227
58 10952456 35200 0.003214
59 10952456 35213 0.003215
60 10952456 35287 0.003222
61 10952456 35299 0.003223
62 10952456 35441 0.003236
63 10952456 35186 0.003213
64 10952456 35827 0.003271
65 10952456 35546 0.003245
66 10952456 43396 0.003962
67 10952456 35120 0.003207
68 10952456 35180 0.003212
69 10952456 36195 0.003305
70 10952456 35648 0.003255
71 10952456 35609 0.003251
72 10952456 35292 0.003222
73 10952456 36631 0.003345
74 10952456 36448 0.003328
75 10952456 36805 0.003360
76 10952456 36499 0.003332
77 10952456 35911 0.003279
78 10952456 36126 0.003298
79 10952456 42294 0.003862
80 10952456 35691 0.003259
81 10952456 41228 0.003764
82 10952456 35989 0.003286
83 10952456 36280 0.003312
84 10952456 39544 0.003611
85 10952456 36542 0.003336
86 10952456 36974 0.003376
87 10952456 43552 0.003976
88 10952456 37438 0.003418
89 10952456 38682 0.003532
90 10952456 39788 0.003633
91 10952456 39321 0.003590
92 10952456 38647 0.003529
93 10952456 39366 0.003594
94 10952456 37587 0.003432
95 10952456 38054 0.003474
96 10952456 37535 0.003427
97 10952456 42935 0.003920
98 10952456 37041 0.003382
99 10952456 37415 0.003416
100 10952456 37503 0.003424
101 10899404 37879 0.003475
102 10841243 37688 0.003476
103 10779138 37875 0.003514
104 10709362 38541 0.003599
105 10627127 37467 0.003526
106 10533604 37064 0.003519
107 10436348 36578 0.003505
108 10333173 36986 0.003579
109 10209160 37445 0.003668
110 10083547 36378 0.003608
111 9957098 35449 0.003560
112 9829879 38864 0.003954
113 9685410 35287 0.003643
114 9537564 35386 0.003710
115 9381345 34883 0.003718
116 9216175 34267 0.003718
117 9046314 34422 0.003805
118 8869730 33160 0.003739
119 8695489 32044 0.003685
120 8519232 32331 0.003795
121 8338915 31843 0.003819
122 8152367 32127 0.003941
123 7968566 30777 0.003862
124 7781004 29737 0.003822
125 7592845 29518 0.003888
126 7405132 28511 0.003850
127 7222765 27850 0.003856
128 7049019 27696 0.003929
129 6882119 28146 0.004090
130 6708309 27100 0.004040
131 6534538 25754 0.003941
132 6359752 24736 0.003889
133 6177327 24028 0.003890
134 6002950 23759 0.003958
135 5835512 23641 0.004051
136 5672002 24719 0.004358
137 5515555 22459 0.004072
138 5355941 21652 0.004043
139 5202243 21824 0.004195
140 5041101 22189 0.004402
141 4880791 21093 0.004322
142 4730234 22712 0.004801
143 4585071 19189 0.004185
144 4438107 19202 0.004327
145 4299136 18595 0.004325
146 4160060 17452 0.004195
147 4009456 17531 0.004372
148 3872174 16768 0.004330
149 3732803 16094 0.004312
