# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 12817149 21792 0.001700
2 12817149 28055 0.002189
3 12817149 17788 0.001388
4 12817149 16765 0.001308
5 12817149 13071 0.001020
6 12817149 13767 0.001074
7 12817149 10299 0.000804
8 12817149 10187 0.000795
9 12817149 11331 0.000884
10 12817149 11808 0.000921
11 12817149 7769 0.000606
12 12817149 24177 0.001886
13 12817149 6376 0.000497
14 12817149 6968 0.000544
15 12817149 25446 0.001985
16 12817149 6591 0.000514
17 12817149 5055 0.000394
18 12817149 4862 0.000379
19 12817149 4904 0.000383
20 12817149 5372 0.000419
21 12817149 5154 0.000402
22 12817149 9336 0.000728
23 12817149 4615 0.000360
24 12817149 5082 0.000397
25 12817149 4770 0.000372
26 12817149 4706 0.000367
27 12817149 9306 0.000726
28 12817149 4734 0.000369
29 12817149 5200 0.000406
30 12817149 5116 0.000399
31 12817149 4712 0.000368
32 12817149 4978 0.000388
33 12817149 5266 0.000411
34 12817149 5107 0.000398
35 12817149 10236 0.000799
36 12817149 4684 0.000365
37 12817149 4827 0.000377
38 12817149 4829 0.000377
39 12817149 5400 0.000421
40 12817149 4875 0.000380
41 12817149 4604 0.000359
42 12817149 14362 0.001121
43 12817149 4673 0.000365
44 12817149 4815 0.000376
45 12817149 4754 0.000371
46 12817149 4723 0.000368
47 12817149 4773 0.000372
48 12817149 5013 0.000391
49 12817149 4766 0.000372
50 12817149 4868 0.000380
51 12817149 4893 0.000382
52 12817149 4931 0.000385
53 12817149 5058 0.000395
54 12817149 5124 0.000400
55 12817149 4974 0.000388
56 12817149 12688 0.000990
57 12817149 4805 0.000375
58 12817149 5083 0.000397
59 12817149 5051 0.000394
60 12817149 4953 0.000386
61 12817149 5030 0.000392
62 12817149 4940 0.000385
63 12817149 4951 0.000386
64 12817149 5159 0.000403
65 12817149 5122 0.000400
66 12817149 14771 0.001152
67 12817149 5134 0.000401
68 12817149 5373 0.000419
69 12817149 6511 0.000508
70 12817149 5379 0.000420
71 12817149 5417 0.000423
72 12817149 6548 0.000511
73 12817149 6934 0.000541
74 12817149 5881 0.000459
75 12817149 6611 0.000516
76 12817149 6304 0.000492
77 12817149 5959 0.000465
78 12817149 5957 0.000465
79 12817149 14243 0.001111
80 12817149 6271 0.000489
81 12817149 12272 0.000957
82 12817149 6181 0.000482
83 12817149 6620 0.000516
84 12817149 9776 0.000763
85 12817149 6660 0.000520
86 12817149 6760 0.000527
87 12817149 14356 0.001120
88 12817149 7060 0.000551
89 12817149 8312 0.000649
90 12817149 9549 0.000745
91 12817149 7992 0.000624
92 12817149 7744 0.000604
93 12817149 8256 0.000644
94 12817149 5957 0.000465
95 12817149 6102 0.000476
96 12817149 6397 0.000499
97 12817149 13133 0.001025
98 12817149 6234 0.000486
99 12817149 6674 0.000521
100 12817149 7702 0.000601
101 12753004 8191 0.000642
102 12683041 7380 0.000582
103 12608806 7753 0.000615
104 12526050 9224 0.000736
105 12427931 7756 0.000624
106 12317200 7922 0.000643
107 12201492 7845 0.000643
108 12079948 7850 0.000650
109 11932274 8541 0.000716
110 11782746 8277 0.000702
111 11633036 8200 0.000705
112 11482812 12065 0.001051
113 11311376 8674 0.000767
114 11134796 9051 0.000813
115 10949778 9010 0.000823
116 10754362 8808 0.000819
117 10555035 9218 0.000873
118 10347507 8508 0.000822
119 10144154 8402 0.000828
120 9936221 8859 0.000892
121 9724159 9323 0.000959
122 9505630 10228 0.001076
123 9291095 8457 0.000910
124 9071431 8207 0.000905
125 8851053 8576 0.000969
126 8630984 8044 0.000932
127 8418997 7803 0.000927
128 8215600 8167 0.000994
129 8020209 9466 0.001180
130 7817556 8759 0.001120
131 7615126 7703 0.001012
132 7413182 7897 0.001065
133 7201849 8011 0.001112
134 6998880 7801 0.001115
135 6804259 7544 0.001109
136 6614665 9498 0.001436
137 6433181 7425 0.001154
138 6248956 7296 0.001168
139 6070872 7418 0.001222
140 5885809 7897 0.001342
141 5698596 7081 0.001243
142 5523751 10048 0.001819
143 5354438 6718 0.001255
144 5183318 6754 0.001303
145 5021810 7205 0.001435
146 4860853 6217 0.001279
147 4685974 6324 0.001350
148 4527347 6265 0.001384
149 4364690 5780 0.001324
