# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 12114940 70201 0.005795
2 12114940 70333 0.005805
3 12114940 54139 0.004469
4 12114940 49930 0.004121
5 12114940 46255 0.003818
6 12114940 47281 0.003903
7 12114940 44683 0.003688
8 12114940 44190 0.003648
9 12114940 45760 0.003777
10 12114940 47260 0.003901
11 12114940 43684 0.003606
12 12114940 60396 0.004985
13 12114940 44101 0.003640
14 12114940 44926 0.003708
15 12114940 53689 0.004432
16 12114940 44056 0.003637
17 12114940 42493 0.003507
18 12114940 41966 0.003464
19 12114940 41502 0.003426
20 12114940 41569 0.003431
21 12114940 40678 0.003358
22 12114940 44550 0.003677
23 12114940 40359 0.003331
24 12114940 40800 0.003368
25 12114940 40576 0.003349
26 12114940 40007 0.003302
27 12114940 45240 0.003734
28 12114940 41051 0.003388
29 12114940 41418 0.003419
30 12114940 40721 0.003361
31 12114940 40634 0.003354
32 12114940 40692 0.003359
33 12114940 41182 0.003399
34 12114940 41067 0.003390
35 12114940 45124 0.003725
36 12114940 40261 0.003323
37 12114940 40154 0.003314
38 12114940 40555 0.003348
39 12114940 40686 0.003358
40 12114940 40058 0.003306
41 12114940 39824 0.003287
42 12114940 48469 0.004001
43 12114940 39826 0.003287
44 12114940 39652 0.003273
45 12114940 39415 0.003253
46 12114940 39635 0.003272
47 12114940 39566 0.003266
48 12114940 39916 0.003295
49 12114940 41790 0.003449
50 12114940 42171 0.003481
51 12114940 42476 0.003506
52 12114940 42167 0.003481
53 12114940 42070 0.003473
54 12114940 42488 0.003507
55 12114940 42413 0.003501
56 12114940 49289 0.004068
57 12114940 42186 0.003482
58 12114940 41881 0.003457
59 12114940 42160 0.003480
60 12114940 42260 0.003488
61 12114940 42090 0.003474
62 12114940 42174 0.003481
63 12114940 41846 0.003454
64 12114940 42892 0.003540
65 12114940 42722 0.003526
66 12114940 51414 0.004244
67 12114940 42322 0.003493
68 12114940 42737 0.003528
69 12114940 43082 0.003556
70 12114940 42712 0.003526
71 12114940 42764 0.003530
72 12114940 42930 0.003544
73 12114940 44109 0.003641
74 12114940 43480 0.003589
75 12114940 43815 0.003617
76 12114940 43405 0.003583
77 12114940 42899 0.003541
78 12114940 43338 0.003577
79 12114940 49940 0.004122
80 12114940 42980 0.003548
81 12114940 48920 0.004038
82 12114940 43468 0.003588
83 12114940 43705 0.003608
84 12114940 47006 0.003880
85 12114940 44379 0.003663
86 12114940 44960 0.003711
87 12114940 51883 0.004283
88 12114940 45065 0.003720
89 12114940 45694 0.003772
90 12114940 46905 0.003872
91 12114940 46256 0.003818
92 12114940 46160 0.003810
93 12114940 47025 0.003882
94 12114940 45443 0.003751
95 12114940 45888 0.003788
96 12114940 45259 0.003736
97 12114940 51209 0.004227
98 12114940 44379 0.003663
99 12114940 44903 0.003706
100 12114940 45365 0.003745
101 12057106 46359 0.003845
102 11993801 45343 0.003781
103 11926163 45376 0.003805
104 11849663 45744 0.003860
105 11759842 45296 0.003852
106 11657884 44342 0.003804
107 11550741 43863 0.003797
108 11438003 43454 0.003799
109 11302648 44449 0.003933
110 11163879 43365 0.003884
111 11025406 42644 0.003868
112 10884563 46376 0.004261
113 10724314 42497 0.003963
114 10559702 42602 0.004034
115 10386634 42470 0.004089
116 10202428 41073 0.004026
117 10013705 41036 0.004098
118 9819150 39222 0.003994
119 9625777 38259 0.003975
120 9429321 38853 0.004120
121 9228471 38036 0.004122
122 9022047 38108 0.004224
123 8817454 37569 0.004261
124 8608850 36472 0.004237
125 8398842 36169 0.004306
126 8190039 33766 0.004123
127 7988727 33153 0.004150
128 7795584 32874 0.004217
129 7609618 33664 0.004424
130 7414646 32230 0.004347
131 7222265 30937 0.004284
132 7028786 29787 0.004238
133 6827566 28855 0.004226
134 6633188 28242 0.004258
135 6446651 28056 0.004352
136 6265066 29731 0.004746
137 6092001 26967 0.004427
138 5916431 26639 0.004503
139 5746997 26330 0.004582
140 5570762 26364 0.004733
141 5391355 24906 0.004620
142 5225109 26885 0.005145
143 5064187 22641 0.004471
144 4900937 22889 0.004670
145 4747319 22176 0.004671
146 4593538 20839 0.004537
147 4426839 20361 0.004599
148 4275102 19989 0.004676
149 4120477 18982 0.004607
