# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 11261940 35398 0.003143
2 11261940 39216 0.003482
3 11261940 27196 0.002415
4 11261940 25965 0.002306
5 11261940 22277 0.001978
6 11261940 22741 0.002019
7 11261940 20787 0.001846
8 11261940 20824 0.001849
9 11261940 22861 0.002030
10 11261940 23947 0.002126
11 11261940 19492 0.001731
12 11261940 34459 0.003060
13 11261940 18933 0.001681
14 11261940 18999 0.001687
15 11261940 30837 0.002738
16 11261940 19830 0.001761
17 11261940 18168 0.001613
18 11261940 17897 0.001589
19 11261940 16687 0.001482
20 11261940 17371 0.001542
21 11261940 16569 0.001471
22 11261940 20705 0.001838
23 11261940 17271 0.001534
24 11261940 18453 0.001639
25 11261940 17645 0.001567
26 11261940 17743 0.001575
27 11261940 21501 0.001909
28 11261940 17137 0.001522
29 11261940 16850 0.001496
30 11261940 16929 0.001503
31 11261940 16461 0.001462
32 11261940 16872 0.001498
33 11261940 16981 0.001508
34 11261940 16897 0.001500
35 11261940 21257 0.001888
36 11261940 16401 0.001456
37 11261940 17232 0.001530
38 11261940 17532 0.001557
39 11261940 17099 0.001518
40 11261940 16397 0.001456
41 11261940 16565 0.001471
42 11261940 24865 0.002208
43 11261940 16188 0.001437
44 11261940 18433 0.001637
45 11261940 16096 0.001429
46 11261940 15719 0.001396
47 11261940 16431 0.001459
48 11261940 16476 0.001463
49 11261940 16495 0.001465
50 11261940 16767 0.001489
51 11261940 16837 0.001495
52 11261940 17232 0.001530
53 11261940 17363 0.001542
54 11261940 17244 0.001531
55 11261940 19355 0.001719
56 11261940 25474 0.002262
57 11261940 19123 0.001698
58 11261940 16369 0.001453
59 11261940 16573 0.001472
60 11261940 16804 0.001492
61 11261940 17155 0.001523
62 11261940 16681 0.001481
63 11261940 17019 0.001511
64 11261940 17245 0.001531
65 11261940 17139 0.001522
66 11261940 26258 0.002332
67 11261940 17147 0.001523
68 11261940 18003 0.001599
69 11261940 18045 0.001602
70 11261940 17878 0.001587
71 11261940 18636 0.001655
72 11261940 17480 0.001552
73 11261940 17878 0.001587
74 11261940 17409 0.001546
75 11261940 17616 0.001564
76 11261940 17675 0.001569
77 11261940 16905 0.001501
78 11261940 16881 0.001499
79 11261940 25159 0.002234
80 11261940 18529 0.001645
81 11261940 23430 0.002080
82 11261940 17070 0.001516
83 11261940 17075 0.001516
84 11261940 20397 0.001811
85 11261940 17390 0.001544
86 11261940 17929 0.001592
87 11261940 24878 0.002209
88 11261940 17672 0.001569
89 11261940 19971 0.001773
90 11261940 20643 0.001833
91 11261940 19606 0.001741
92 11261940 18909 0.001679
93 11261940 19684 0.001748
94 11261940 17347 0.001540
95 11261940 17819 0.001582
96 11261940 17828 0.001583
97 11261940 23782 0.002112
98 11261940 17620 0.001565
99 11261940 18229 0.001619
100 11261940 18973 0.001685
101 11208250 19870 0.001773
102 11149062 18125 0.001626
103 11086060 18815 0.001697
104 11015740 19950 0.001811
105 10932607 18535 0.001695
106 10838086 23238 0.002144
107 10739492 22810 0.002124
108 10635192 22781 0.002142
109 10510461 19727 0.001877
110 10382559 19778 0.001905
111 10253862 19997 0.001950
112 10125353 23965 0.002367
113 9976701 19826 0.001987
114 9826967 20309 0.002067
115 9668514 37721 0.003901
116 9499335 37016 0.003897
117 9327367 36894 0.003955
118 9149463 17849 0.001951
119 8973226 18017 0.002008
120 8794332 17701 0.002013
121 8611936 17744 0.002060
122 8423657 18402 0.002185
123 8238479 17906 0.002173
124 8049260 15509 0.001927
125 7858236 17155 0.002183
126 7667908 14803 0.001931
127 7483963 16853 0.002252
128 7307920 17490 0.002393
129 7138078 17922 0.002511
130 6959559 15251 0.002191
131 6781624 14395 0.002123
132 6603555 14639 0.002217
133 6417206 14086 0.002195
134 6239664 13538 0.002170
135 6070143 13548 0.002232
136 5903543 15917 0.002696
137 5745070 12906 0.002246
138 5582368 13398 0.002400
139 5425534 12697 0.002340
140 5262765 12753 0.002423
141 5097196 11618 0.002279
142 4943293 14528 0.002939
143 4793644 11345 0.002367
144 4643817 11620 0.002502
145 4502046 11931 0.002650
146 4359962 11159 0.002559
147 4204957 10786 0.002565
148 4064328 10476 0.002578
149 3919801 9938 0.002535
