# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 10562720 14980 0.001418
2 10562720 19022 0.001801
3 10562720 10913 0.001033
4 10562720 10551 0.000999
5 10562720 8595 0.000814
6 10562720 9317 0.000882
7 10562720 7445 0.000705
8 10562720 7607 0.000720
9 10562720 9242 0.000875
10 10562720 9781 0.000926
11 10562720 6677 0.000632
12 10562720 21203 0.002007
13 10562720 6177 0.000585
14 10562720 6722 0.000636
15 10562720 9061 0.000858
16 10562720 6869 0.000650
17 10562720 5422 0.000513
18 10562720 5381 0.000509
19 10562720 5402 0.000511
20 10562720 5736 0.000543
21 10562720 5366 0.000508
22 10562720 9182 0.000869
23 10562720 5476 0.000518
24 10562720 5549 0.000525
25 10562720 5528 0.000523
26 10562720 5355 0.000507
27 10562720 9275 0.000878
28 10562720 5315 0.000503
29 10562720 5962 0.000564
30 10562720 5788 0.000548
31 10562720 5326 0.000504
32 10562720 5748 0.000544
33 10562720 5688 0.000538
34 10562720 6035 0.000571
35 10562720 9690 0.000917
36 10562720 5372 0.000509
37 10562720 5270 0.000499
38 10562720 5609 0.000531
39 10562720 6437 0.000609
40 10562720 5620 0.000532
41 10562720 5391 0.000510
42 10562720 13381 0.001267
43 10562720 5451 0.000516
44 10562720 5301 0.000502
45 10562720 5455 0.000516
46 10562720 5348 0.000506
47 10562720 5450 0.000516
48 10562720 5674 0.000537
49 10562720 5900 0.000559
50 10562720 6141 0.000581
51 10562720 5479 0.000519
52 10562720 5373 0.000509
53 10562720 5500 0.000521
54 10562720 5682 0.000538
55 10562720 5997 0.000568
56 10562720 11830 0.001120
57 10562720 5539 0.000524
58 10562720 5608 0.000531
59 10562720 5811 0.000550
60 10562720 5821 0.000551
61 10562720 5354 0.000507
62 10562720 5558 0.000526
63 10562720 5610 0.000531
64 10562720 5494 0.000520
65 10562720 5629 0.000533
66 10562720 13486 0.001277
67 10562720 5841 0.000553
68 10562720 5920 0.000560
69 10562720 6796 0.000643
70 10562720 5805 0.000550
71 10562720 5755 0.000545
72 10562720 5948 0.000563
73 10562720 6921 0.000655
74 10562720 6254 0.000592
75 10562720 6862 0.000650
76 10562720 6677 0.000632
77 10562720 6636 0.000628
78 10562720 6632 0.000628
79 10562720 13155 0.001245
80 10562720 6501 0.000615
81 10562720 11583 0.001097
82 10562720 6491 0.000615
83 10562720 6807 0.000644
84 10562720 9434 0.000893
85 10562720 7273 0.000689
86 10562720 6885 0.000652
87 10562720 13396 0.001268
88 10562720 7294 0.000691
89 10562720 8525 0.000807
90 10562720 9358 0.000886
91 10562720 8280 0.000784
92 10562720 8125 0.000769
93 10562720 8340 0.000790
94 10562720 6388 0.000605
95 10562720 6625 0.000627
96 10562720 6458 0.000611
97 10562720 12539 0.001187
98 10562720 6572 0.000622
99 10562720 7051 0.000668
100 10562720 7811 0.000739
101 10513176 8764 0.000834
102 10459227 8170 0.000781
103 10401349 8043 0.000773
104 10336534 8521 0.000824
105 10260508 8180 0.000797
106 10173888 7931 0.000780
107 10083442 7820 0.000776
108 9988089 7759 0.000777
109 9873338 8749 0.000886
110 9756569 8165 0.000837
111 9639316 8066 0.000837
112 9520535 10728 0.001127
113 9385194 8262 0.000880
114 9246596 8581 0.000928
115 9100666 8546 0.000939
116 8946056 8205 0.000917
117 8787620 8511 0.000969
118 8623384 8144 0.000944
119 8460030 8016 0.000948
120 8293683 8326 0.001004
121 8123608 8658 0.001066
122 7948582 9508 0.001196
123 7774764 7870 0.001012
124 7598263 7691 0.001012
125 7420909 8305 0.001119
126 7243389 7664 0.001058
127 7071315 6934 0.000981
128 6905341 8019 0.001161
129 6745722 8208 0.001217
130 6578344 7718 0.001173
131 6412262 6808 0.001062
132 6246762 7108 0.001138
133 6073707 6988 0.001151
134 5907859 7062 0.001195
135 5748197 6670 0.001160
136 5590176 8382 0.001499
137 5439253 6707 0.001233
138 5286117 6673 0.001262
139 5137921 6761 0.001316
140 4983248 7173 0.001439
141 4827959 6558 0.001358
142 4682889 8837 0.001887
143 4541400 5654 0.001245
144 4398468 6160 0.001400
145 4262626 6326 0.001484
146 4127016 5733 0.001389
147 3980698 5503 0.001382
148 3846851 5632 0.001464
149 3711720 5323 0.001434
