# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 7884017 75609 0.009590
2 7884017 29466 0.003737
3 7884017 23916 0.003033
4 7884017 20915 0.002653
5 7884017 18774 0.002381
6 7884017 18240 0.002314
7 7884017 16682 0.002116
8 7884017 15209 0.001929
9 7884017 13405 0.001700
10 7884017 13066 0.001657
11 7884017 12317 0.001562
12 7884017 10913 0.001384
13 7884017 11345 0.001439
14 7884017 12402 0.001573
15 7884017 11935 0.001514
16 7884017 10361 0.001314
17 7884017 11495 0.001458
18 7884017 9438 0.001197
19 7884017 10947 0.001389
20 7884017 9463 0.001200
21 7884017 8454 0.001072
22 7884017 11140 0.001413
23 7884017 7544 0.000957
24 7884017 8025 0.001018
25 7884017 11446 0.001452
26 7884017 7583 0.000962
27 7884017 10008 0.001269
28 7884017 9702 0.001231
29 7884017 8333 0.001057
30 7884017 7511 0.000953
31 7884017 8107 0.001028
32 7884017 8140 0.001032
33 7884017 8376 0.001062
34 7884017 8447 0.001071
35 7884017 8144 0.001033
36 7884017 8411 0.001067
37 7884017 11891 0.001508
38 7884017 11229 0.001424
39 7884017 8008 0.001016
40 7884017 9748 0.001236
41 7884017 7897 0.001002
42 7884017 13460 0.001707
43 7884017 8637 0.001096
44 7884017 8550 0.001084
45 7884017 8446 0.001071
46 7884017 7724 0.000980
47 7884017 7397 0.000938
48 7884017 9433 0.001196
49 7884017 10137 0.001286
50 7884017 8975 0.001138
51 7884017 10358 0.001314
52 7884017 7799 0.000989
53 7884017 7962 0.001010
54 7884017 8109 0.001029
55 7884017 10180 0.001291
56 7884017 8738 0.001108
57 7884017 7581 0.000962
58 7884017 7091 0.000899
59 7884017 10265 0.001302
60 7884017 7982 0.001012
61 7884017 13621 0.001728
62 7884017 6948 0.000881
63 7884017 8923 0.001132
64 7884017 6876 0.000872
65 7884017 6775 0.000859
66 7884017 7032 0.000892
67 7884017 10275 0.001303
68 7884017 10058 0.001276
69 7884017 6915 0.000877
70 7884017 11449 0.001452
71 7884017 7909 0.001003
72 7884017 8520 0.001081
73 7884017 6940 0.000880
74 7884017 8623 0.001094
75 7884017 7156 0.000908
76 7884017 7856 0.000996
77 7884017 9302 0.001180
78 7884017 6828 0.000866
79 7884017 8696 0.001103
80 7884017 6876 0.000872
81 7884017 8732 0.001108
82 7884017 9805 0.001244
83 7884017 6825 0.000866
84 7884017 6849 0.000869
85 7884017 6522 0.000827
86 7884017 8239 0.001045
87 7884017 8428 0.001069
88 7884017 7167 0.000909
89 7884017 8902 0.001129
90 7884017 10689 0.001356
91 7884017 6592 0.000836
92 7884017 6885 0.000873
93 7884017 6863 0.000870
94 7884017 7136 0.000905
95 7884017 7865 0.000998
96 7884017 7819 0.000992
97 7884017 7106 0.000901
98 7884017 11146 0.001414
99 7884017 7115 0.000902
100 7884017 8005 0.001015
101 7882817 8696 0.001103
102 7881682 9877 0.001253
103 7880529 9130 0.001159
104 7879347 8616 0.001093
105 7878035 7238 0.000919
106 7876517 7366 0.000935
107 7874952 7504 0.000953
108 7873178 8339 0.001059
109 7870726 7678 0.000976
110 7867828 12320 0.001566
111 7864262 8175 0.001040
112 7859693 11033 0.001404
113 7853247 8790 0.001119
114 7844681 8647 0.001102
115 7833219 8922 0.001139
116 7817908 10074 0.001289
117 7798485 9111 0.001168
118 7773313 9292 0.001195
119 7742965 9060 0.001170
120 7706062 9662 0.001254
121 7660923 10369 0.001353
122 7606344 14645 0.001925
123 7543357 12126 0.001608
124 7469897 16243 0.002174
125 7385739 9437 0.001278
126 7291226 13431 0.001842
127 7189878 11031 0.001534
128 7082373 10296 0.001454
129 6971266 12482 0.001790
130 6845261 10739 0.001569
131 6710632 11090 0.001653
132 6567435 11316 0.001723
133 6409401 10689 0.001668
134 6251296 10395 0.001663
135 6094930 9057 0.001486
136 5935609 11110 0.001872
137 5779142 8338 0.001443
138 5616438 9113 0.001623
139 5456652 11318 0.002074
140 5288293 10466 0.001979
141 5120223 10433 0.002038
142 4959724 8007 0.001614
143 4803496 8626 0.001796
144 4646089 8130 0.001750
145 4497214 8467 0.001883
146 4347579 7685 0.001768
147 4186382 8186 0.001955
148 4040318 9843 0.002436
149 3888441 9476 0.002437
150 3738787 18841 0.005039
