# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 26838 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0129	0.9748	0.5061	0.0198
2	0.0016	0.9548	0.3556	0.0028
3	0.0007	0.9335	0.2755	0.0013
4	0.0004	0.9115	0.2283	0.0008
5	0.0003	0.8922	0.1936	0.0006
6	0.0002	0.8728	0.1705	0.0003
7	0.0002	0.8522	0.1528	0.0003
8	0.0002	0.8307	0.1376	0.0002
9	0.0001	0.8103	0.1266	0.0002
10	0.0001	0.7879	0.1180	0.0002
11	0.0001	0.7673	0.1100	0.0002
12	0.0001	0.7474	0.1031	0.0002
13	0.0001	0.7269	0.0965	0.0002
14	0.0001	0.7071	0.0907	0.0001
15	0.0001	0.6870	0.0857	0.0001
16	0.0001	0.6680	0.0815	0.0001
17	0.0001	0.6481	0.0781	0.0001
18	0.0001	0.6293	0.0740	0.0001
19	0.0001	0.6100	0.0706	0.0001
20	0.0001	0.5911	0.0678	0.0001
21	0.0001	0.5713	0.0651	0.0001
22	0.0001	0.5528	0.0624	0.0001
23	0.0001	0.5363	0.0600	0.0001
24	0.0001	0.5201	0.0580	0.0001
25	0.0001	0.5034	0.0560	0.0001
26	0.0001	0.4872	0.0544	0.0001
27	0.0001	0.4720	0.0523	0.0001
28	0.0001	0.4556	0.0511	0.0001
29	0.0001	0.4412	0.0497	0.0001
30	0.0001	0.4272	0.0480	0.0001
31	0.0001	0.4135	0.0467	0.0001
32	0.0001	0.4007	0.0448	0.0001
33	0.0001	0.3876	0.0434	0.0001
34	0.0001	0.3740	0.0423	0.0001
35	0.0001	0.3611	0.0407	0.0001
36	0.0001	0.3486	0.0396	0.0001
37	0.0001	0.3373	0.0383	0.0001
38	0.0001	0.3267	0.0369	0.0001
39	0.0001	0.3155	0.0360	0.0001
40	0.0001	0.3064	0.0348	0.0001
41	0.0001	0.2970	0.0341	0.0001
42	0.0001	0.2872	0.0332	0.0001
43	0.0001	0.2780	0.0325	0.0001
44	0.0001	0.2686	0.0317	0.0001
45	0.0001	0.2600	0.0310	0.0001
46	0.0001	0.2516	0.0305	0.0001
47	0.0001	0.2431	0.0297	0.0001
48	0.0001	0.2361	0.0290	0.0001
49	0.0001	0.2279	0.0284	0.0001
50	0.0001	0.2201	0.0280	0.0001
