# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 12500084 14090 0.001127
2 12500084 21861 0.001749
3 12500084 12073 0.000966
4 12500084 11405 0.000912
5 12500084 8735 0.000699
6 12500084 9834 0.000787
7 12500084 7186 0.000575
8 12500084 7799 0.000624
9 12500084 9335 0.000747
10 12500084 10289 0.000823
11 12500084 6995 0.000560
12 12500084 23024 0.001842
13 12500084 6193 0.000495
14 12500084 6632 0.000531
15 12500084 17841 0.001427
16 12500084 6484 0.000519
17 12500084 4991 0.000399
18 12500084 4859 0.000389
19 12500084 4790 0.000383
20 12500084 5328 0.000426
21 12500084 4847 0.000388
22 12500084 9198 0.000736
23 12500084 4850 0.000388
24 12500084 5123 0.000410
25 12500084 4857 0.000389
26 12500084 4747 0.000380
27 12500084 9447 0.000756
28 12500084 4863 0.000389
29 12500084 5793 0.000463
30 12500084 5242 0.000419
31 12500084 4832 0.000387
32 12500084 5228 0.000418
33 12500084 5393 0.000431
34 12500084 5721 0.000458
35 12500084 9897 0.000792
36 12500084 4819 0.000386
37 12500084 4802 0.000384
38 12500084 4904 0.000392
39 12500084 5585 0.000447
40 12500084 4877 0.000390
41 12500084 4592 0.000367
42 12500084 13782 0.001103
43 12500084 4861 0.000389
44 12500084 4693 0.000375
45 12500084 4605 0.000368
46 12500084 4783 0.000383
47 12500084 5017 0.000401
48 12500084 5124 0.000410
49 12500084 4892 0.000391
50 12500084 5087 0.000407
51 12500084 4875 0.000390
52 12500084 4857 0.000389
53 12500084 5108 0.000409
54 12500084 5100 0.000408
55 12500084 5055 0.000404
56 12500084 12362 0.000989
57 12500084 5043 0.000403
58 12500084 4937 0.000395
59 12500084 5075 0.000406
60 12500084 5140 0.000411
61 12500084 4855 0.000388
62 12500084 4943 0.000395
63 12500084 5166 0.000413
64 12500084 5178 0.000414
65 12500084 5116 0.000409
66 12500084 14230 0.001138
67 12500084 5250 0.000420
68 12500084 5428 0.000434
69 12500084 6328 0.000506
70 12500084 5179 0.000414
71 12500084 5373 0.000430
72 12500084 5448 0.000436
73 12500084 6455 0.000516
74 12500084 5793 0.000463
75 12500084 6449 0.000516
76 12500084 6032 0.000483
77 12500084 5981 0.000478
78 12500084 6010 0.000481
79 12500084 13834 0.001107
80 12500084 6101 0.000488
81 12500084 12263 0.000981
82 12500084 6163 0.000493
83 12500084 6352 0.000508
84 12500084 9826 0.000786
85 12500084 6678 0.000534
86 12500084 6719 0.000538
87 12500084 14265 0.001141
88 12500084 6810 0.000545
89 12500084 8322 0.000666
90 12500084 9247 0.000740
91 12500084 8030 0.000642
92 12500084 7442 0.000595
93 12500084 8388 0.000671
94 12500084 6117 0.000489
95 12500084 6302 0.000504
96 12500084 6285 0.000503
97 12500084 12875 0.001030
98 12500084 6224 0.000498
99 12500084 6608 0.000529
100 12500084 7757 0.000621
101 12433693 8095 0.000651
102 12361997 7345 0.000594
103 12285606 7613 0.000620
104 12200505 8638 0.000708
105 12099407 7778 0.000643
106 11985114 7755 0.000647
107 11866293 7602 0.000641
108 11741690 7782 0.000663
109 11592167 8506 0.000734
110 11441109 7882 0.000689
111 11290643 8096 0.000717
112 11138272 11371 0.001021
113 10964794 7992 0.000729
114 10788341 8876 0.000823
115 10601421 8579 0.000809
116 10405598 8384 0.000806
117 10205994 8690 0.000851
118 9999057 8131 0.000813
119 9795870 7839 0.000800
120 9588646 8518 0.000888
121 9378549 8708 0.000929
122 9162234 9762 0.001065
123 8949841 7974 0.000891
124 8732512 7642 0.000875
125 8514997 8088 0.000950
126 8297199 7466 0.000900
127 8088139 7397 0.000915
128 7887653 7855 0.000996
129 7694947 8402 0.001092
130 7493993 7713 0.001029
131 7296003 6847 0.000938
132 7097733 7115 0.001002
133 6890329 7119 0.001033
134 6691148 7024 0.001050
135 6500582 6757 0.001039
136 6314828 8829 0.001398
137 6138706 6603 0.001076
138 5958373 6485 0.001088
139 5784158 6704 0.001159
140 5603860 7168 0.001279
141 5420798 6225 0.001148
142 5251376 9165 0.001745
143 5087614 5785 0.001137
144 4921408 6229 0.001266
145 4765214 6379 0.001339
146 4609072 5745 0.001246
147 4439561 5494 0.001238
148 4285843 5742 0.001340
149 4129548 5231 0.001267
